EmployeeID,FirstName,LastName,CompanyEmail,DesignationID,TeamID,IsActive,TicketID,TicketNumber,Subject,Description,StatusCode,PriorityCode,CreatedAt,ClosedAt,AssignedToID
17,Lance,Smith,lance.smith@echobyte.com,9,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,John,Reyes,john.reyes@echobyte.com,4,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Heather,Berger,heather.berger@echobyte.com,6,19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Kenneth,Spence,kenneth.spence@echobyte.com,3,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Tammy,Ballard,tammy.ballard@echobyte.com,4,21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Sean,Young,sean.young@echobyte.com,7,22,1,105,TKT-2025-0105,WiFi connection dropping frequently in lobby,"Network connectivity is very slow in office. I need this resolved urgently as it affects attending important meetings.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,URG,2025-01-26 13:57:00.000,2025-01-26 21:57:00.000,362
23,Alfred,Baker,alfred.baker@echobyte.com,8,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,Danny,Pena,danny.pena@echobyte.com,2,24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Terri,Cardenas,terri.cardenas@echobyte.com,1,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,Russell,Campbell,russell.campbell@echobyte.com,1,26,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,Christopher,Richard,christopher.richard@echobyte.com,5,27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,Brian,Romero,brian.romero@echobyte.com,5,17,1,5,TKT-2024-0005,Need help with password reset in ERP system,I'm trying to access CRM system but getting access denied. I need this resolved as it's preventing me from submitting reports. I've tried trying different passwords.,Closed,LOW,2024-08-23 16:21:00.000,2024-08-24 14:21:00.000,45
29,Cody,Gregory,cody.gregory@echobyte.com,2,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,Marie,Wise,marie.wise@echobyte.com,7,27,1,164,TKT-2024-0164,laptop freezing - urgent assistance needed,My laptop (Model: HP ZBook Studio) started battery not charging after software installation. I've tried Restarted the device multiple times but the issue persists. This is affecting my ability to access critical files.,Closed,MED,2024-08-03 14:07:00.000,2024-08-03 22:07:00.000,383
31,Kathryn,Nelson,kathryn.nelson@echobyte.com,8,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,Allen,Robertson,allen.robertson@echobyte.com,8,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Sarah,Robertson,sarah.robertson@echobyte.com,9,9,1,200,TKT-2025-0200,MacBook blue screen when turn on,I'm experiencing overheating with my ThinkPad. The problem started this morning and I've attempted restarting the device. This is preventing me from access critical files.,Closed,MED,2025-01-05 13:35:00.000,2025-01-05 19:35:00.000,845
34,Dana,Cox,dana.cox@echobyte.com,10,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,Jenna,Pierce,jenna.pierce@echobyte.com,7,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,Eric,Martin,eric.martin@echobyte.com,3,11,1,3,TKT-2025-0003,Need account creation for Active Directory,"Since yesterday, I've been unable to permission changes in ERP system. This is affecting submitting reports.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,HIGH,2025-01-14 11:48:00.000,2025-01-14 19:48:00.000,198
36,Eric,Martin,eric.martin@echobyte.com,3,11,1,184,TKT-2024-0184,Cannot access shared drives - password expired,I'm trying to access shared drives but getting permission error. I need this resolved as it's preventing me from accessing project files. I've tried trying different passwords.,Closed,LOW,2024-12-16 12:11:00.000,2024-12-17 14:11:00.000,127
37,Larry,Higgins,larry.higgins@echobyte.com,6,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,Brandon,Campbell,brandon.campbell@echobyte.com,8,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,Catherine,Robertson,catherine.robertson@echobyte.com,7,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,Alicia,Edwards,alicia.edwards@echobyte.com,9,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,Brent,Stein,brent.stein@echobyte.com,10,21,1,183,TKT-2024-0183,Chrome keeps showing error messages when printing documents,"Since the latest update, Excel has been running slowly. I need this resolved quickly as it affects my daily communication.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,HIGH,2024-08-08 16:26:00.000,2024-08-08 23:26:00.000,666
42,Jessica,Wong,jessica.wong@echobyte.com,6,26,1,131,TKT-2025-0131,Software issue: Teams not working properly,"Since installing new software, PowerPoint has been not responding. I need this resolved quickly as it affects client presentations.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,URG,2025-07-24 11:49:00.000,2025-07-24 20:49:00.000,762
43,Danielle,Shepard,danielle.shepard@echobyte.com,8,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,Erin,Love,erin.love@echobyte.com,8,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Victoria,Long,victoria.long@echobyte.com,9,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,Barbara,Ray,barbara.ray@echobyte.com,5,25,1,161,TKT-2024-0161,Laptop ThinkPad won't start after software installation,I'm experiencing freezing with my MacBook. The problem started yesterday and I've attempted restarting the device. This is preventing me from access critical files.,Closed,MED,2024-11-28 13:54:00.000,2024-11-28 21:54:00.000,105
47,Nicholas,Jacobs,nicholas.jacobs@echobyte.com,5,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,Corey,Zavala,corey.zavala@echobyte.com,10,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,Jodi,Murray,jodi.murray@echobyte.com,4,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,Lisa,Adams,lisa.adams@echobyte.com,5,21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,Harry,Jefferson,harry.jefferson@echobyte.com,2,23,1,108,TKT-2024-0108,Laptop ThinkPad won't connect to WiFi after system restart,My ThinkPad (Model: MacBook Pro 2021) started freezing after power outage. I've tried Restarted the device multiple times but the issue persists. This is affecting my ability to complete my reports.,Closed,MED,2024-12-25 12:02:00.000,2024-12-25 19:02:00.000,824
52,Norman,Bowers,norman.bowers@echobyte.com,8,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,Trevor,Brown,trevor.brown@echobyte.com,8,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,Wendy,White,wendy.white@echobyte.com,6,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,William,Stone,william.stone@echobyte.com,9,14,0,100,TKT-2025-0100,Cannot access CRM system - account locked,"System: Active Directory
Issue: access denied
User: new employee
Impact: accessing project files
Steps taken: trying different passwords",Closed,LOW,2025-01-12 12:54:00.000,2025-01-12 22:54:00.000,102
56,Lauren,Soto,lauren.soto@echobyte.com,1,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,Robert,Taylor,robert.taylor@echobyte.com,9,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,Andrea,Wilson,andrea.wilson@echobyte.com,6,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,Lisa,Taylor,lisa.taylor@echobyte.com,8,26,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,Kathryn,Williams,kathryn.williams@echobyte.com,8,11,1,87,TKT-2025-0087,Unable to access cloud applications due to network issues,I'm experiencing DNS resolution failures in cafeteria. This started this morning and I've tried trying different locations. This is preventing me from accessing critical files.,Closed,LOW,2025-02-26 14:55:00.000,2025-02-27 07:55:00.000,259
60,Kathryn,Williams,kathryn.williams@echobyte.com,8,11,1,7,TKT-2025-0007,Software issue: Outlook not working properly,"Application: Zoom
Version: Ubuntu 20.04 LTS
Issue: showing error messages
Error message: BSOD: SYSTEM_SERVICE_EXCEPTION (win32kfull.sys)
Steps taken: clearing cache
Impact: my daily communication

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,CRIT,2025-02-09 15:29:00.000,2025-02-09 23:29:00.000,485
61,Albert,Dominguez,albert.dominguez@echobyte.com,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,Carol,Lawson,carol.lawson@echobyte.com,10,16,1,113,TKT-2025-0113,Unable to turn on on MacBook - battery not charging,I'm experiencing overheating with my ThinkPad. The problem started yesterday and I've attempted updating drivers. This is preventing me from attend client meetings.,Closed,LOW,2025-02-14 15:05:00.000,2025-02-15 08:05:00.000,172
63,Rodney,Morales,rodney.morales@echobyte.com,6,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Matthew,Patterson,matthew.patterson@echobyte.com,8,26,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,David,Nunez,david.nunez@echobyte.com,7,19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,Stephen,Adkins,stephen.adkins@echobyte.com,7,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,Carrie,Lewis,carrie.lewis@echobyte.com,2,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,Tyler,Reyes,tyler.reyes@echobyte.com,9,21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,Michael,Silva,michael.silva@echobyte.com,9,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Meghan,Valencia,meghan.valencia@echobyte.com,10,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,Gary,Mcclure,gary.mcclure@echobyte.com,9,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,Matthew,Barron,matthew.barron@echobyte.com,6,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Tracy,Guerrero,tracy.guerrero@echobyte.com,2,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,Ryan,Osborn,ryan.osborn@echobyte.com,4,22,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,Christine,Becker,christine.becker@echobyte.com,1,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,John,Bryant,john.bryant@echobyte.com,9,12,1,1,TKT-2025-0001,ThinkPad overheating when turn on,"Device: MacBook
Model: Dell Latitude 7420
Issue: battery not charging
When it happens: connecting to external monitor
Impact: work remotely
Steps taken: checking power connections",Closed,LOW,2025-02-05 16:46:00.000,2025-02-06 12:46:00.000,214
77,Tammy,Day,tammy.day@echobyte.com,8,19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,Amanda,Glover,amanda.glover@echobyte.com,9,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,Brian,Dickerson,brian.dickerson@echobyte.com,2,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,David,Reyes,david.reyes@echobyte.com,3,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,Thomas,Hernandez,thomas.hernandez@echobyte.com,8,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,Stephen,Madden,stephen.madden@echobyte.com,1,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,Samuel,Carr,samuel.carr@echobyte.com,8,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,Melissa,West,melissa.west@echobyte.com,8,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,Brandon,Martin,brandon.martin@echobyte.com,10,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,Dale,Sandoval,dale.sandoval@echobyte.com,9,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,James,Christensen,james.christensen@echobyte.com,7,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,Billy,Ramirez,billy.ramirez@echobyte.com,7,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,Susan,Fleming,susan.fleming@echobyte.com,4,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,Lorraine,Bartlett,lorraine.bartlett@echobyte.com,6,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,Susan,Thomas,susan.thomas@echobyte.com,2,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,Michael,Lambert,michael.lambert@echobyte.com,8,21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,Anthony,Perkins,anthony.perkins@echobyte.com,6,4,1,79,TKT-2024-0079,ThinkPad slow performance - urgent assistance needed,"Device: Dell laptop
Model: Dell Latitude 5520
Issue: battery not charging
When it happens: opening multiple applications
Impact: complete my reports
Steps taken: checking power connections",Closed,LOW,2024-08-22 11:55:00.000,2024-08-22 21:55:00.000,719
94,Elizabeth,Holmes,elizabeth.holmes@echobyte.com,6,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,Timothy,Mendoza,timothy.mendoza@echobyte.com,7,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,Brittany,Hall,brittany.hall@echobyte.com,9,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,Diamond,Watts,diamond.watts@echobyte.com,8,25,1,25,TKT-2025-0025,Cannot connect to Ethernet in meeting room,Network connectivity is very slow in lobby. I need this resolved urgently as it affects attending important meetings.,Closed,LOW,2025-05-03 14:29:00.000,2025-05-04 07:29:00.000,131
97,Diamond,Watts,diamond.watts@echobyte.com,8,25,1,193,TKT-2025-0193,Hardware issue with Dell laptop: freezing,My laptop (Model: MacBook Pro 2021) started blue screen after software installation. I've tried Reset network adapter settings but the issue persists. This is affecting my ability to complete my reports.,Closed,LOW,2025-01-07 13:36:00.000,2025-01-08 10:36:00.000,346
98,Ryan,Brown,ryan.brown@echobyte.com,6,2,1,135,TKT-2024-0135,Permission denied for applications,"System: email system
Issue: access denied
User: new employee
Impact: completing my work
Steps taken: checking email for reset links",Closed,MED,2024-08-08 14:21:00.000,2024-08-08 20:21:00.000,663
99,Wendy,Chan,wendy.chan@echobyte.com,9,22,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,John,Ramos,john.ramos@echobyte.com,6,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,Christine,Vasquez,christine.vasquez@echobyte.com,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Jaclyn,Watson,jaclyn.watson@echobyte.com,2,2,1,70,TKT-2025-0070,Unable to joining meetings in PowerPoint - ERROR 0x80070002: The system cannot find the file specified,I'm having trouble with Chrome (Version: macOS Monterey 12.6.1). The application not responding when I try to joining meetings. I've tried clearing cache but the problem continues.,Closed,MED,2025-03-15 12:05:00.000,2025-03-16 00:05:00.000,522
102,Jaclyn,Watson,jaclyn.watson@echobyte.com,2,2,1,129,TKT-2024-0129,Unable to access intranet due to network issues,"Network connectivity is not connecting in office. I need this resolved urgently as it affects attending important meetings.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,HIGH,2024-11-19 12:30:00.000,2024-11-19 21:30:00.000,44
103,Debra,Ryan,debra.ryan@echobyte.com,3,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,Sharon,Kennedy,sharon.kennedy@echobyte.com,7,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Linda,Ramos,linda.ramos@echobyte.com,6,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,Keith,Walsh,keith.walsh@echobyte.com,5,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,John,Wise,john.wise@echobyte.com,5,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,Sarah,Shea,sarah.shea@echobyte.com,2,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,Kimberly,Allen,kimberly.allen@echobyte.com,3,24,1,123,TKT-2024-0123,Need help with Chrome - not responding,"I'm having trouble with Excel (Version: Windows 10 Pro 21H2). The application showing error messages when I try to sending emails. I've tried checking for updates but the problem continues.

URGENT: This is affecting critical business operations and needs immediate attention.",Closed,HIGH,2024-12-22 12:41:00.000,2024-12-22 19:41:00.000,284
110,Sarah,Collier,sarah.collier@echobyte.com,1,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,Scott,Gomez,scott.gomez@echobyte.com,6,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,Ashley,Carroll,ashley.carroll@echobyte.com,5,15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,Ashley,Williams,ashley.williams@echobyte.com,2,25,1,185,TKT-2024-0185,laptop slow performance when connect to WiFi,"Device: Dell laptop
Model: ThinkPad T14
Issue: overheating
When it happens: running intensive software
Impact: complete my reports
Steps taken: restarting the device",Closed,LOW,2024-12-23 12:03:00.000,2024-12-23 22:03:00.000,86
114,Matthew,Brock,matthew.brock@echobyte.com,3,26,1,126,TKT-2024-0126,Permission denied for applications,"Since this morning, I've been unable to account creation in ERP system. This is affecting accessing project files.",Closed,LOW,2024-11-19 13:18:00.000,2024-11-20 09:18:00.000,339
114,Matthew,Brock,matthew.brock@echobyte.com,3,26,1,13,TKT-2024-0013,Cannot access Active Directory - permission error,"Since last week, I've been unable to account creation in shared drives. This is affecting accessing project files.",Closed,LOW,2024-08-12 15:02:00.000,2024-08-13 20:02:00.000,74
115,James,Rasmussen,james.rasmussen@echobyte.com,7,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,Shane,Anderson,shane.anderson@echobyte.com,2,27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,Meghan,Harrison,meghan.harrison@echobyte.com,10,17,1,48,TKT-2025-0048,WiFi connection drops intermittently - need immediate assistance,I'm experiencing DNS resolution failures in lobby. This started this morning and I've tried checking network settings. This is preventing me from communicating with clients.,Closed,LOW,2025-02-27 15:59:00.000,2025-02-28 15:59:00.000,534
118,Phillip,Crosby,phillip.crosby@echobyte.com,4,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,Deborah,Dawson,deborah.dawson@echobyte.com,8,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,Donna,Chavez,donna.chavez@echobyte.com,8,14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Marcus,Merritt,marcus.merritt@echobyte.com,8,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,Jason,Davidson,jason.davidson@echobyte.com,5,17,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,Catherine,Lopez,catherine.lopez@echobyte.com,2,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,Larry,Williams,larry.williams@echobyte.com,3,13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,Daniel,Brown,daniel.brown@echobyte.com,10,7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,David,Garcia,david.garcia@echobyte.com,7,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,Lisa,Clay,lisa.clay@echobyte.com,3,19,1,6,TKT-2025-0006,Excel running slowly after installing new software,"Since the latest update, Outlook has been crashing. I need this resolved quickly as it affects client presentations.",Closed,LOW,2025-02-08 13:48:00.000,2025-02-09 04:48:00.000,694
128,Elaine,Wells,elaine.wells@echobyte.com,1,27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,Timothy,Vaughn,timothy.vaughn@echobyte.com,10,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,Melissa,Ramirez,melissa.ramirez@echobyte.com,5,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,Sandra,Hall,sandra.hall@echobyte.com,8,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,David,Rosario,david.rosario@echobyte.com,8,7,1,59,TKT-2024-0059,Need account creation for ERP system,"Since yesterday, I've been unable to password reset in CRM system. This is affecting submitting reports.",Closed,MED,2024-08-22 13:40:00.000,2024-08-23 02:40:00.000,787
133,Chad,Luna,chad.luna@echobyte.com,10,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,Peggy,Mccoy,peggy.mccoy@echobyte.com,1,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,John,Banks,john.banks@echobyte.com,8,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,Samuel,Frost,samuel.frost@echobyte.com,3,21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,William,Marshall,william.marshall@echobyte.com,2,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,Charles,Richards,charles.richards@echobyte.com,7,15,1,21,TKT-2025-0021,Network connectivity problem: not connecting,Network connectivity is not connecting in lobby. I need this resolved urgently as it affects accessing critical files.,Closed,LOW,2025-01-03 09:33:00.000,2025-01-03 22:33:00.000,729
139,Ryan,Walker,ryan.walker@echobyte.com,10,23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,Brandy,Bray,brandy.bray@echobyte.com,10,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,Jo,Goodwin,jo.goodwin@echobyte.com,2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,Deanna,Carter,deanna.carter@echobyte.com,6,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,Autumn,Alexander,autumn.alexander@echobyte.com,6,4,1,127,TKT-2024-0127,Permission denied for databases,I'm trying to access Active Directory but getting permission error. I need this resolved as it's preventing me from completing my work. I've tried checking email for reset links.,Closed,LOW,2024-08-19 09:17:00.000,2024-08-20 07:17:00.000,556
144,Cathy,Lee,cathy.lee@echobyte.com,10,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,Carl,Choi,carl.choi@echobyte.com,10,22,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,Nathaniel,Quinn,nathaniel.quinn@echobyte.com,7,20,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,Samantha,Martin,samantha.martin@echobyte.com,4,18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,Daniel,Mcguire,daniel.mcguire@echobyte.com,8,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,Thomas,Wolfe,thomas.wolfe@echobyte.com,4,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
